i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.0488,0.04392,-0.03904,-0.01464,0.00976,-0.02928,0.05368,0.0732,0.00976,-0.01464,-0.03416,-0.03416
-0.03904,0.03904,-0.03904,-0.01952,0,-0.01952,0.05368,0.07808,0.00976,-0.00976,-0.0244,-0.02928
-0.03416,0.03172,-0.02928,-0.0122,0.00488,-0.01952,0.04392,0.08296,0.01952,0,-0.01464,-0.01952
-0.0244,0.01952,-0.01464,-0.00244,0.00976,-0.01708,0.04392,0.08784,0.01952,0.01464,-0.00488,-0.01464
-0.00488,0.00488,-0.00488,-0.00244,0,-0.00244,0.04392,0.07808,0.01464,0.00488,-0.00488,-0.00976
0.00976,-0.00244,-0.00488,-0.00976,-0.01464,0.0122,0.03904,0.08296,0.02928,0.01952,0.00488,0.00488
0.02928,-0.01708,0.00488,-0.00976,-0.0244,0.02684,0.02928,0.08296,0.04392,0.0244,0.01952,0.00488
0.0488,-0.02928,0.00976,-0.01464,-0.03904,0.04392,0.0244,0.08296,0.0488,0.02928,0.02928,0.01464
0.0488,-0.03416,0.01952,-0.00488,-0.02928,0.03904,0.0244,0.09272,0.04392,0.03904,0.02928,0.02928
0.06344,-0.04636,0.02928,-0.00244,-0.03416,0.0488,0.01464,0.09272,0.05368,0.04392,0.03416,0.03416
0.08296,-0.06344,0.04392,0.00244,-0.03904,0.061,0.00976,0.09272,0.05856,0.05368,0.04392,0.04392
0.0976,-0.0732,0.0488,0,-0.0488,0.0732,0,0.09272,0.05856,0.05368,0.05368,0.0488
0.11224,-0.09028,0.06832,0.0122,-0.04392,0.07808,-0.00488,0.08296,0.06832,0.06344,0.06344,0.05856
0.122,-0.10004,0.07808,0.01708,-0.04392,0.08296,-0.00976,0.08296,0.0732,0.06344,0.0732,0.06832
0.14152,-0.1098,0.07808,0.00732,-0.06344,0.10248,-0.01464,0.08296,0.06832,0.06832,0.06344,0.06832
0.15128,-0.11712,0.08296,0.00732,-0.06832,0.1098,-0.0244,0.07808,0.06832,0.07808,0.07808,0.07808
0.16104,-0.12688,0.09272,0.0122,-0.06832,0.11468,-0.04392,0.06832,0.0732,0.08296,0.07808,0.08784
0.17568,-0.14152,0.10736,0.01952,-0.06832,0.122,-0.0488,0.05856,0.07808,0.08784,0.08296,0.09272
0.18056,-0.15128,0.122,0.03172,-0.05856,0.11956,-0.05368,0.05856,0.07808,0.08296,0.08784,0.0976
0.18056,-0.15372,0.12688,0.0366,-0.05368,0.11712,-0.05856,0.0488,0.08296,0.08296,0.0976,0.10248
