i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.05368,0.05612,-0.05856,-0.03172,-0.00488,-0.0244,0.04392,0.06832,-0.01464,-0.00488,-0.01464,-0.01952
-0.05368,0.0488,-0.04392,-0.01708,0.00976,-0.03172,0.04392,0.06832,-0.01464,-0.00488,-0.01464,-0.0244
-0.05368,0.0488,-0.04392,-0.01708,0.00976,-0.03172,0.04392,0.0732,-0.00976,-0.00488,-0.01464,-0.0244
-0.0488,0.04636,-0.04392,-0.01952,0.00488,-0.02684,0.04392,0.08296,0,0.00488,-0.00976,-0.01952
-0.0488,0.04636,-0.04392,-0.01952,0.00488,-0.02684,0.0488,0.08296,0,0.00488,-0.00488,-0.01464
-0.05368,0.04392,-0.03416,-0.00732,0.01952,-0.0366,0.0488,0.07808,0,0,-0.00488,-0.01464
-0.05856,0.04636,-0.03416,-0.00488,0.0244,-0.04148,0.0488,0.07808,0,0,-0.00488,-0.01464
-0.05856,0.04636,-0.03416,-0.00488,0.0244,-0.04148,0.0488,0.07808,0,0.00488,-0.00488,-0.01464
-0.05856,0.0488,-0.03904,-0.00976,0.01952,-0.03904,0.05368,0.09272,0.00488,0.00488,0,-0.00976
-0.05856,0.05368,-0.0488,-0.01952,0.00976,-0.03416,0.05856,0.10248,0.00976,0.00488,0,-0.00488
-0.05368,0.0488,-0.04392,-0.01708,0.00976,-0.03172,0.05856,0.10736,0.00976,0.00976,0,-0.00488
-0.0488,0.03904,-0.02928,-0.00488,0.01952,-0.03416,0.05856,0.122,0.01464,0.01464,0.00488,0
-0.0488,0.03172,-0.01464,0.00976,0.03416,-0.04148,0.05856,0.12688,0.01464,0.01464,0.00976,0.00488
-0.04392,0.02928,-0.01464,0.00732,0.02928,-0.0366,0.05856,0.12688,0.01952,0.01464,0.00976,0.00488
-0.04392,0.0244,-0.00488,0.01708,0.03904,-0.04148,0.05856,0.13664,0.0244,0.01952,0.00976,0.00976
-0.03904,0.02684,-0.01464,0.00488,0.0244,-0.03172,0.05856,0.13664,0.0244,0.02928,0.00976,0.01464
-0.03416,0.02928,-0.0244,-0.00732,0.00976,-0.02196,0.06344,0.15128,0.03416,0.02928,0.00976,0.0244
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,0.06832,0.16104,0.03416,0.03416,0.01464,0.03416
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,0.06832,0.16104,0.03904,0.03416,0.0244,0.03904
-0.02928,0.02196,-0.01464,0,0.01464,-0.02196,0.06832,0.17568,0.04392,0.03904,0.0244,0.04392
-0.0244,0.01464,-0.00488,0.00732,0.01952,-0.02196,0.06832,0.17568,0.04392,0.0488,0.0244,0.04392
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,0.06832,0.18544,0.05368,0.04392,0.02928,0.04392
-0.0244,0.00244,0.01952,0.03172,0.04392,-0.03416,0.06832,0.19032,0.05856,0.04392,0.03416,0.03904
-0.01464,-0.00244,0.01952,0.02684,0.03416,-0.0244,0.06832,0.20008,0.0732,0.05368,0.04392,0.04392
-0.01464,-0.00732,0.02928,0.0366,0.04392,-0.02928,0.06832,0.21472,0.0732,0.05368,0.0488,0.0488
-0.00976,-0.0122,0.03416,0.03904,0.04392,-0.02684,0.06832,0.22448,0.08296,0.05856,0.0488,0.05368
-0.00976,-0.01464,0.03904,0.04392,0.0488,-0.02928,0.0732,0.23424,0.09272,0.05856,0.05368,0.05856
-0.00976,-0.01708,0.04392,0.0488,0.05368,-0.03172,0.08296,0.24888,0.10248,0.0732,0.05856,0.06832
-0.00488,-0.0244,0.05368,0.05612,0.05856,-0.03172,0.08296,0.26352,0.11224,0.08784,0.06832,0.0732
0.00488,-0.03416,0.06344,0.061,0.05856,-0.02684,0.08296,0.2684,0.10736,0.08784,0.06832,0.0732
